Agentic support	18f	cited=18	proposed=likely-done	dirs=src/components/home-redesign/conversation | src/components/trade/native-chart | src/lib/chart/lightweightChartsTheme.ts
Pro > checkout	9f	cited=10	proposed=likely-done	dirs=src/components/home-redesign/upgrade | src/components/upgrade/checkout | src/pages/upgrade/CheckoutPage.tsx
Whales	19f	cited=6	proposed=likely-done	dirs=src/components/home-redesign/whales
Pro	4f	cited=6	proposed=likely-done	dirs=src/components/upgrade/TierCard.tsx | src/components/home-redesign/upgrade | src/pages/upgrade/UpgradePage.tsx
welcome > onboarding Qs	19f	cited=5	proposed=likely-done	dirs=src/components/home-redesign/HomeOnboarding.tsx | src/components/home-redesign/onboarding | src/services/onboarding/questionnaireService.ts
Add > Add whale	9f	cited=5	proposed=likely-done	dirs=src/components/home-redesign/AiHome.tsx | src/components/home-redesign/whales | src/components/home-redesign/RedesignHome.tsx
Pro > checkout ALT	1f	cited=5	proposed=likely-done	dirs=src/components/upgrade/checkout | src/components/home-redesign/upgrade
(section root)	3f	cited=4	proposed=likely-done	dirs=src/components/home-redesign/HomeShellLayout.tsx | src/components/home-redesign/AiHome.tsx | src/components/home-redesign/HomeSidebarRail.tsx
query	5f	cited=4	proposed=likely-done	dirs=src/components/home-redesign/AiHome.tsx | src/components/ai/ChatInterface.tsx | src/components/home-redesign/AskComposer.tsx
sidebar normal > Group chats	1f	cited=4	proposed=likely-done	dirs=src/components/home-redesign/AiHome.tsx | src/components/home-redesign/chatFolders.ts | src/components/home-redesign/CreateChatFolderModal.tsx
Pro > checkout > welcome to gold	3f	cited=4	proposed=likely-done	dirs=src/components/upgrade/checkout | src/components/home-redesign/upgrade
Pro ALT stretched	1f	cited=4	proposed=likely-done	dirs=src/components/upgrade/PlansLayout4.tsx | src/components/upgrade/PlansLayout6.tsx | src/components/home-redesign/upgrade
welcome	13f	cited=3	proposed=likely-done	dirs=src/components/home-redesign/SignedOutWelcome.tsx | src/services/onboarding/questionnaireService.ts | src/components/home-redesign/onboarding
AI Feed	9f	cited=3	proposed=likely-done	dirs=src/components/home-redesign/feed
conversation	4f	cited=3	proposed=likely-done	dirs=src/components/home-redesign/conversation | src/components/home-redesign/AskComposer.tsx
sidebar normal > Group chats > Folder name	3f	cited=3	proposed=likely-done	dirs=src/components/home-redesign/chatFolders.ts | src/components/home-redesign/CreateChatFolderModal.tsx | src/components/home-redesign/HomeSidebarExpanded.tsx
Portfolio	9f	cited=3	proposed=likely-done	dirs=src/components/home-redesign/portfolio | src/components/home-redesign/SiteFooter.tsx
AI Feed > Market intel	4f	cited=2	proposed=partial	dirs=src/components/home-redesign/market-intel
AI Feed > Market intel > Manage intel	3f	cited=2	proposed=partial	dirs=src/components/home-redesign/market-intel
ALT	2f	cited=2	proposed=partial	dirs=src/components/home-redesign/AiHome.tsx | src/components/home-redesign/ComposerSuggestions.tsx
Voice prompt > chat history	3f	cited=2	proposed=partial	dirs=src/components/home-redesign/ChatHistoryModal.tsx | src/components/home-redesign/conversation
Add > upload image > conversation 4	3f	cited=2	proposed=partial	dirs=src/components/home-redesign/conversation
conversation extended	3f	cited=2	proposed=partial	dirs=src/components/home-redesign/conversation
conversation 3	3f	cited=2	proposed=partial	dirs=src/components/home-redesign/conversation
ads > Add	3f	cited=2	proposed=partial	dirs=src/components/home-redesign/AiHome.tsx | src/components/home-redesign/AddMenu.tsx
Add > upload image	3f	cited=2	proposed=partial	dirs=src/components/home-redesign/AiHome.tsx | src/components/home-redesign/AskComposer.tsx
