10359-13252	Directory
10359-13258	Breakpoint
10359-13260	Breakpoint
10359-13262	Breakpoint
10359-13264	Skai > Play > Casino > Cosmic slots (768 x 1024px)
10359-13505	Skai > Play > Casino > Cosmic slots (1440 x 900px)
10387-4125	Load screen - desktop
10385-3166	Load screen > Start game - desktop
10387-4470	Load screen > home - desktop
10400-5393	Load screen > home >combo > combo end frame - desktop
10400-5509	Load screen > home >combo > combo end frame > menu - desktop
10395-4756	Load screen > home - desktop
10400-4973	Load screen > home > combo - desktop
10400-4972	Safari A 8
10397-4971	Safari A 7
10397-4970	Safari A 6
10397-4969	Safari A 5
10397-4968	Safari A 4
10397-4967	Safari A 3
10397-4966	Safari A 2
10397-4965	Safari A 1
10395-4860	Cosmic slots spaceship 1
10395-4859	Cosmic slots Astro boy 1
10385-2858	Load screen ALT - desktop
10359-14155	Skai > Play > Casino > Cosmic slots (375 x 812px)
10406-11916	Skai > Play > Casino > Cosmic slots 1VH (375 x 812px)
10406-12386	Skai > Play > Casino > Cosmic slots 2 1VH (375 x 812px)
10359-14485	Rectangle 155
10359-14486	Rectangle 163
10401-6164	Cosmic slots - Card visual
10403-6394	Cosmic slots - Card visual
10401-6360	Mines Desktop
10401-6365	Cosmic slots - Desktop
10401-6369	Cosmic slots - Tablet
10401-6374	Cosmic slots - Mobile
10401-6379	Rectangle 34624566
10403-6465	Load screen - tablet
10403-6662	Load screen > home - tablet
10406-11233	Load screen > home > menu - tablet
10406-10540	Load screen > home > combo - tablet
10405-9861	Load screen ALT - tablet
10405-9965	Load screen > Start game - tablet
10407-12856	Load screen - mobile
10407-14020	Load screen ALT - mobile
10407-13075	Load screen - refresh screen - mobile
10407-13179	Load screen > home - mobile
10409-14696	Load screen > home > all key items - mobile
10412-15598	Load screen > home > menu - docked - mobile
10412-15700	Load screen > home > menu - mobile
10407-14031	Load screen > Start game - mobile
