section	nodeId	change	title	why	implFiles
cover-images	9222-26208	REMOVED-WITH-WORK	Crash Mobile	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/assets/games/figma/
cover-images	9222-26323	REMOVED-WITH-WORK	Blackjack Desktop	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/assets/games/figma/
dice	9100-5928	REMOVED-WITH-WORK	card	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/components/play/games/instant/DiceGame.tsx
dice	9175-9500	REMOVED-WITH-WORK	card	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/components/play/games/instant/DiceGame.tsx
hilo	9058-2367	REMOVED-WITH-WORK	Card out	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/components/play/games/cards/HiLoGame.tsx modules/skai-gaming/src/pages/play/HiLoPage.tsx
hilo	9058-5154	REMOVED-WITH-WORK	Skai > Play > Casino > Scratchers (768 x 1024px)	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/components/play/games/cards/HiLoGame.tsx modules/skai-gaming/src/pages/play/HiLoPage.tsx
hilo	9058-6701	REMOVED-WITH-WORK	Layout	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/components/play/games/cards/HiLoGame.tsx modules/skai-gaming/src/pages/play/HiLoPage.tsx
hilo	9058-7261	REMOVED-WITH-WORK	Frame 1000004025	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	
home-2	13008-130964	REMOVED-WITH-WORK	Skai > Home 1VH (1440 x 900px)	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/home-redesign/HomeShellLayout.tsx
plinko	9175-9939	REMOVED-WITH-WORK	signals	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/components/play/games/instant/PlinkoGame.tsx
