section	nodeId	change	title	why	implFiles
governance	5370-60318 -> 11364-165058	RETARGET	sidebar - open earn	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	
governance	11345-144081	ADDED	Skai > Explorer - customise 1VH (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11349-147772	ADDED	Transactions - with arrow	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11349-148815	ADDED	Active Projects - with data	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11345-145018	ADDED	With success/failure	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11345-146431	ADDED	Truncated ALT - NOT recommended	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11364-149679	ADDED	Skai > Yield vaults 1VH (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11303-133324	ADDED	Skai > Rewards > My referrals - empty (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11343-142862	ADDED	Skai > Learn > Skai university > Create course - Step 2 (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11343-142585	ADDED	Corser details - with video	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11342-142483	ADDED	Videoframe - before playing	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11307-134317	ADDED	Skai > Governance > Proposals ALT 1VH (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11309-136820	ADDED	Right menu	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11309-136155	ADDED	Governance settings	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11307-135124	ADDED	Skai > Governance > Proposals > Sample proposal - view - not created by 1VH (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11314-138830	ADDED	Vault actions - deposit and unclaimed	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11405-100106	ADDED	Skai > Earn > Sample opportunity - save (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11405-103640	ADDED	Skai > Earn > Sample opportunity - save > Save (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
