section	nodeId	change	title	why	implFiles
home	2939-9933 -> 13008-110719	RETARGET	Directory	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	
home	2773-10391 -> 13008-110725	RETARGET	Directory	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	
home	6243-15240 -> 13008-110731	RETARGET	Directory	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	
home	7307-78307 -> 13008-110738	RETARGET	Breakpoint	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	
home	6965-87438 -> 13008-110740	RETARGET	Breakpoint	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	
home	2773-10396 -> 13008-110742	RETARGET	Skai > Home > Whales - no data 1VH (1440 x 900px)	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	src/components/home-redesign/whales/WhalesScreen.tsx
home	7294-68763 -> 13008-110870	RETARGET	Skai > Home > Whales 1VH (1440 x 900px)	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	src/components/home-redesign/whales/WhalesScreen.tsx
home	6001-59103 -> 13008-111263	RETARGET	Skai > Home > Whales 1VH (1440 x 900px)	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	src/components/home-redesign/whales/WhalesScreen.tsx
home	6317-40206 -> 13008-111656	RETARGET	Skai > Home > Whales > filter - custom input 1VH (1440 x 900px)	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	src/components/home-redesign/whales/WhalesScreen.tsx
home	2857-11664 -> 13008-112079	RETARGET	Skai > Home > Whales 1VH (1440 x 900px)	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	src/components/home-redesign/whales/WhalesScreen.tsx
home	2939-10760 -> 13008-112491	RETARGET	Skai > Pro 1VH (1440 x 900px)	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	src/components/home-redesign/upgrade/UpgradePlanScreen.tsx
home	6008-71803 -> 13008-112676	RETARGET	Skai > Pro ALT 1VH (1440 x 900px)	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	src/components/home-redesign/upgrade/UpgradePlanScreen.tsx
home	6336-56093 -> 13008-112937	RETARGET	Skai > Pro ALT stretched 1VH (1440 x 900px)	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	src/components/home-redesign/upgrade/UpgradePlanScreen.tsx
home	6008-72292 -> 13008-113198	RETARGET	Plans - long view	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	
home	2946-15136 -> 13008-113481	RETARGET	Skai > Pro > checkout - send tokens - step 1 1VH (1440 x 900px)	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	src/pages/upgrade/CheckoutPage.tsx
