4459-128150	Directory
4595-50243	Skai > Play ALT 1VH (1440 x 900px)
8977-141185	Scroll bar 1
8987-141590	Scroll bar 2
4595-49807	Skai > Play 1VH (1440 x 900px)
9099-146637	Skai > Play (1440 x 900px)
4459-128153	Breakpoint
9099-146602	universal dropdown-bets
9146-94935	sidebar - open - sportsbook | scroll
4595-48921	card
4595-49343	Frame 420
4595-49345	Frame 422
4601-60611	Cards - Chicken
4601-59662	Cards - Cosmic Slots
4758-62172	Bets - My bets
4599-53456	Bets - Recent
9099-12411	CTA/button
4595-49344	Frame 421
4714-29697	Hero Banner 2 - Referral
4714-33326	Notes
9112-13728	Hero Banner 3 - Referral
9170-113382	tool-tip
9112-13214	cards - roultette OLD
4711-28434	Skai > Play > Casino (1440 x 900px)
4601-59674	Cards - Blackjack
4768-66183	Skai > Play - dropdown 1VH (1440 x 900px)
4645-70366	Cards Large - Fortune Wheel On:hover
4645-70345	Directory
4841-72059	Skai > Play > Sportsbook (1440 x 900px)
4765-64029	Skai > Play - dropdown 1VH (1440 x 900px)
9170-113296	card with tool tip
4645-70357	Cards Large - Fortune Wheel
4601-61572	Cards - Fortune Wheel
9099-131647	dropdown-main
4711-29339	sidebar - open casino
4601-58678	Notes
4711-29147	Breakpoint
4601-56478	Frame 640
4645-70372	Notes
4799-60925	Skai > Play > Sportsbook 1VH (1440 x 900px)
4601-61559	Cards - Fortune Wheel ALT
4711-29143	Directory
4851-78751	Notes
4630-65898	Notes
4714-51038	Notes
4714-51085	Skai > Play > Casino > Trending games (1440 x 900px)
9170-114084	Skai > Play > Sportsbook > Soccer > AVL CHE (1440 x 900px)
4601-63484	Skai > Play > Sidebar 1VH (1440 x 900px)
4714-31722	Skai > Play > Casino > New games (1440 x 900px)
4892-82791	Notes
4896-86320	Quick bet - ALT colour
9170-81771	Skai > Play > Sportsbook > Bet slip settings 1VH (1440 x 900px)
4689-45587	Skai > Play > Favorite games 1VH (1440 x 900px)
4676-39553	Skai > Play > Resume play 1VH (1440 x 900px)
4677-40779	Skai > Play > Resume play (1440 x 900px)
4891-82125	Bet slip - combined - elongated
4623-65430	sidebar - open casino
4892-82761	Quick bet - with values
4623-65354	sidebar - open - sportsbook | scroll
4851-78844	Bet slip - empty
4891-82254	Bet slip - normal
4865-79010	Bet slip - with values
9185-15873	card - state 1
4896-83645	Skai > Play > Sportsbook > My bets - empty (1440 x 900px)
4725-55238	Notes
9113-76488	BASE chart
4725-55110	Bet panel - option 1
4755-58123	Notes
4758-59299	Skai > Play > Casino > Sample game 1VH (1440 x 900px)
4792-34411	Notes
4896-86341	Skai > Play > Sportsbook > Bet notifcation 1VH (1440 x 900px)
9103-162908	dropdown - my scoreboard
9103-162842	dropdown-pool balance
4752-56275	Blackjack mainframe
4758-60305	Skai > Play > Casino > Sample game > My Stats (1440 x 900px)
9227-16083	Game view - not started 2
9132-76589	BASE chart
9227-73669	Game view - not started 3 - tilt
9227-73828	Game view - not started 3 - tilt
9103-181483	Claimed - not 100% represented - claimed
9227-73572	Game view - in play
9215-15732	Skai > Play > Sportsbook > Soccer > AVL CHE > Player props (1440 x 900px)
4911-89092	content
9103-181469	Claimed - not 100% represented
9132-93239	Game details - Live chat > streams
4755-57158	Blackjack mainframe ALT - unsorted
4892-82838	Bet slip - combined - results / loss
4723-52636	Skai > Play > Casino > Sample game (1440 x 900px)
9227-74080	Game view - not started 3 - outcome
9227-73346	Game view - in play
4725-54861	Bet panel - option 2
4798-57445	Skai > Play > Casino > Bookie - referral (1440 x 900px)
4758-62540	Game details - Live chat
4798-56335	pool actions - withdraw and unclaimed
4725-55198	Bet panel - option 3
9132-77185	dropdown - performance metrics
9185-15853	card - state 2
4911-89112	content
9103-162860	card ALT
4892-82479	Bet slip - combined - results / win
4911-89072	content
9227-73494	Game view - in play
4792-31202	Skai > Play > Casino > Live RTP - return to player (1440 x 900px)
9215-17213	Game view - not started
9132-76649	dropdown - community wins
4792-34490	Skai > Play > Casino > Bookie - tiers (1440 x 900px)
4911-89419	Skai > Play > Sportsbook > My bets - with values (1440 x 900px)
4911-92925	Skai > Play > Sportsbook > Starting soon (1440 x 900px)
4911-91616	Notes
4758-62997	Skai > Play > Casino > Sample game > Close game 1VH (1440 x 900px)
4792-10647	Skai > Play > Casino > Sample game > Game info 1VH (1440 x 900px)
4913-97944	Skai > Play > Sportsbook > Side panel - Lawn tennis (1440 x 900px)
4914-103344	Notes
4914-99876	Skai > Play > Sportsbook - right sidepanel / betslip 1VH (1440 x 900px)
9191-105864	Skai > Play > Sportsbook - right sidepanel / betslip ALT 1VH (1440 x 900px)
4896-83571	Notes
4896-83198	Bet slip - system - elongated
10012-134986	Skai > Play > unsupported region 1VH (1440 x 900px)
8521-79304	Directory
8975-140958	Directory
8526-132329	Breakpoint
4459-128155	Rectangle 155
4645-70348	Rectangle 156
4711-29146	Rectangle 157
8524-80494	Skai > Play > Casino > Sample game (1440 x 900px)
8976-140973	Roobet’s
8976-140979	Original design
8976-140986	Skai’s current inputs fields are very close in size, to Roobet’s
8976-140987	Also, Skai’s current “Hit” buttons are the exact same size as Roobet’s
8976-140991	Skai’s Start game buttons are massive, larger than Roobet’s
8976-141078	Skai’s “Hit” buttons have bright callout colours attached to them
8976-140993	“2X” buttons have been increased for Play, still within the input fields
8976-140994	“2X” buttons have been removed from the input fields and made to stand alone
8976-140980	Potential Update ( I )
8976-140981	Potential Update ( II )
8526-132080	Bet button - active
8974-140706	Bet button - active - original
8975-140874	Bet button - active - original
8975-140792	Bet button - active - updated (2X triggers)
8976-140995	Bet button - active - updated (isolated 2X triggers 1)
8976-141101	Bet button - active - updated (isolated 2X triggers 2)
8524-125386	Skai > Play > Casino > Sample game (768 x 1024px)
8525-129365	Skai > Play > Casino > Sample game ALT (768 x 1024px)
8525-128840	Skai > Play > Casino > Sample game ALT (768 x 1024px)
8524-125621	Skai > Play > Casino > Sample game (375 x 812px)
8526-131011	Skai > Play > Casino > Sample game 1VH (375 x 812px)
8526-132331	Skai > Play > Casino > Sample game 1VH (375 x 812px)
8525-130018	Notes
8911-166551	Rectangle 163
9112-12979	Rectangle 164
9140-94586	Rectangle 165
8974-140704	Screen Shot 2026-07-11 at 02.11.16 1
8974-140705	Screen Shot 2026-07-11 at 02.11.16 2
8975-140788	Vector 1256
8975-140956	Vector 1260
8975-140957	Vector 1261
8975-140789	Vector 1257
8975-140790	Vector 1258
8975-140791	Vector 1259
8976-140962	Vector 1262
8976-140971	Vector 1269
8976-140965	Vector 1263
8976-140967	Vector 1265
8976-140969	Vector 1267
8976-140966	Vector 1264
8976-140968	Vector 1266
8976-140970	Vector 1268
8976-140982	Vector 1270
8976-140983	Vector 1271
8976-140984	Vector 1272
8976-140985	Vector 1273
8976-140988	Vector 1274
8976-140992	Vector 1275
8976-141079	Vector 1277
8976-141069	Vector 1276
10183-270971	Skai > Play > unsupported region ALT 1VH (1440 x 900px)
10672-18361	card
10690-18445	Frame 641
