2998-19594	Directory
2998-19597	Breakpoint
2998-19599	Skai > Wallet 1VH (1440 x 900px)
2999-19674	Skai > Wallet > continue on web > unlock 1VH (1440 x 900px)
7473-130910	Skai > Wallet > continue on web > unlock > Forgot password 1VH (1440 x 900px)
7683-7930	Skai > Wallet > continue on web > unlock > Forgot password 1VH (768 x 1024px)
7473-133033	Skai > Wallet > continue on web > unlock > Forgot password > OTP > Set new password 1VH (1440 x 900px)
7683-34510	Skai > Wallet > continue on web > unlock > Forgot password > OTP > Set new password 1VH (768 x 1024px)
7473-131013	Skai > Wallet > continue on web > unlock > Forgot password > OTP 1VH (1440 x 900px)
7683-33892	Skai > Wallet > continue on web > unlock > Forgot password > OTP 1VH (768 x 1024px)
3026-16469	Notes
3023-11938	Skai > Wallet > get the app > new user > create new wallet 1VH (1440 x 900px)
7676-51711	Skai > Wallet > get the app > new user > create new wallet 1VH (768 x 1024px)
3026-16563	Skai > Wallet > get the app > new user > create new wallet > Google auth 1VH (1440 x 900px)
3012-15897	Skai > Wallet > get the app > new user 1VH (1440 x 900px)
7676-51506	Skai > Wallet > get the app > new user 1VH (768 x 1024px)
3012-15180	Skai > Wallet > continue on web > unlock - password 1VH (1440 x 900px)
3026-16493	Skai > Wallet > continue on web > home 1VH (1440 x 900px)
3118-21935	Skai > Wallet > continue on web > home > Activity 1VH (1440 x 900px)
7528-153941	section - lopsided
3118-25371	Skai > Wallet > continue on web > home > Activity - show details 1VH (1440 x 900px)
3118-25004	Skai > Wallet > continue on web > home > Activity - empty 1VH (1440 x 900px)
7528-153701	Skai > Wallet > continue on web > home > Activity - empty ALT 1VH (1440 x 900px)
3082-13515	Skai > Wallet > continue on web > home > NFTs - empty 1VH (1440 x 900px)
7806-82974	Skai > Wallet > continue on web > home > NFTs - empty 1VH (768 x 1024px)
7807-86912	Skai > Wallet > continue on web > home > NFTs - empty 1VH (768 x 1024px)
7807-87137	Skai > Wallet > continue on web > home > NFTs - empty ALT 1VH (768 x 1024px)
7807-87715	Skai > Wallet > continue on web > home > Activity 1VH (768 x 1024px)
7807-88748	Skai > Wallet > continue on web > home > Activity 1VH (768 x 1024px)
7806-83761	Skai > Wallet > continue on web > home > NFTs - empty > Import NFT 1VH (768 x 1024px)
7523-152924	Skai > Wallet > continue on web > home > NFTs - empty > Import NFT 1VH (1440 x 900px)
3123-3590	Open
3083-905	Skai > Wallet > continue on web > home > NFTs (1440 x 900px)
3070-517	Skai > Wallet > continue on web > home - skin 2 1VH (1440 x 900px)
7704-47027	Skai > Wallet > continue on web > home - skin 2 1VH (768 x 1024px)
7713-16630	Skai > Wallet > continue on web > home > right-sidecar > wallet multi menu > Export private key 1VH (768 x 1024px)
7713-16984	Skai > Wallet > continue on web > home > right-sidecar > wallet multi menu > Export private key - reveal 1VH (768 x 1024px)
7713-17399	Skai > Wallet > continue on web > home > right-sidecar > wallet multi menu > Remove wallet 1VH (768 x 1024px)
7713-17805	Skai > Wallet > continue on web > home > right-sidecar > wallet multi menu > Add walletl 1VH (768 x 1024px)
7713-18212	Skai > Wallet > continue on web > home > right-sidecar > wallet multi menu > Add wallet 1VH (768 x 1024px)
7717-10153	Skai > Wallet > continue on web > home > right-sidecar > wallet multi menu > Import existing 1VH (768 x 1024px)
7717-10565	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Import existing > Recovery phrase 1VH (768 x 1024px)
7717-11907	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Import existing > Recovery phrase > Wallet name 1VH (768 x 1024px)
7717-12740	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Import existing > Private key 1VH (768 x 1024px)
7717-13147	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Import existing > Keystone 1VH (768 x 1024px)
7717-13587	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Connect hardware wallet 1VH (768 x 1024px)
7717-14343	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Connect hardware wallet 1VH (768 x 1024px)
7713-14212	Skai > Wallet > continue on web > home > right-sidecar > wallet accounts 1VH (768 x 1024px)
7713-15272	Skai > Wallet > continue on web > home > right-sidecar > wallet multi menu 1VH (768 x 1024px)
7713-15682	Skai > Wallet > continue on web > home > right-sidecar > rename wallet 1VH (768 x 1024px)
7713-13398	Skai > Wallet > continue on web > home - skin 3 1VH (768 x 1024px)
7494-150680	Sample
7491-148345	Skai > Wallet > continue on web > home - skin 2 > Share net worth 1VH (1440 x 900px)
7709-10525	Skai > Wallet > continue on web > home - skin 2 > Share net worth 1VH (768 x 1024px)
7713-13706	Skai > Wallet > continue on web > home - skin 2 > Share net worth 1VH (768 x 1024px)
7630-110860	Cards - with skins
3080-12633	Backround 1
3080-12769	Backround 2
3080-811	Skai > Wallet > continue on web > home > right-sidecar > wallet accounts 1VH (1440 x 900px)
7477-133171	Skai > Wallet > continue on web > home > right-sidecar > wallet multi menu 1VH (1440 x 900px)
3082-13100	Skai > Wallet > continue on web > home > right-sidecar > portfolio preview 1VH (1440 x 900px)
3083-1328	Skai > Wallet > continue on web > home > crypto > sample token (1440 x 900px)
7804-74178	Skai > Wallet > continue on web > home > crypto > sample token (768 x 1024px)
8554-84146	Frame 285
7808-89289	Skai > Wallet > continue on web > home > crypto > sample token (375 x 812px)
8554-115129	Skai > Wallet > continue on web > home > crypto > sample token (375 x 812px)
7916-115982	Swap - no value
7911-115798	Swap - active
7916-116166	Swap - active
7871-18184	Skai > Wallet > continue on web > home > crypto > sample token (375 x 812px)
8540-30318	Manual slippage
8540-30352	Manual slippage
7805-80831	Skai > Wallet > continue on web > home > crypto > sample token > sidecar - swap settings 1VH (768 x 1024px)
7806-82583	Manual slippage
7806-82649	Manual slippage
7804-77471	Swap - no value
7804-77085	Swap - active
7804-77701	Swap - error 
3120-27415	Simple Chart line
3089-19811	Skai > Wallet > continue on web > home > NFTs > sample NFT (1440 x 900px)
7806-84981	Skai > Wallet > continue on web > home > NFTs > sample NFT (768 x 1024px)
