node	device	title	fileKey	page
10597-63994	mobile	Skai > Predict > Sports live - full (375x812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10654-203686	tablet	Skai > Predict > Sports live - full (768 x 1024px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10654-206593	tablet	Skai > Predict > Sports live 1VH (768 x 1024px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10597-64475	mobile	Skai > Predict > Sports live 1VH (375x812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10509-19476	mobile	Skai > Predict > sample market - full (375x812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10518-23341	mobile	Skai > Predict > sample market - order book (375x812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10516-19202	mobile	Skai > Predict > sample market - instant 1VH (375x812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10647-186764	tablet	Skai > Predict > sample market - instant 1VH (768 x 1024px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10654-194997	tablet	Skai > Predict > sample market - full (768 x 1024px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10654-196060	tablet	Skai > Predict > sample market - order book (768 x 1024px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10651-188965	tablet	Skai > Predict > sample market - outcome 1VH (768 x 1024px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10654-190511	tablet	Skai > Predict > sample market - market - up 1VH (768 x 1024px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10654-192089	tablet	Skai > Predict > sample market - market 1VH (768 x 1024px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10654-191300	tablet	Skai > Predict > sample market - limt - up 1VH (768 x 1024px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10654-192878	tablet	Skai > Predict > sample market - limit - up 1VH (768 x 1024px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10647-187992	tablet	Skai > Predict > sample market - scroll 1VH (768 x 1024px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10594-49361	mobile	Skai > Predict > sample market - outcome 1VH (375x812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10594-48510	mobile	Skai > Predict > sample market - market 1VH (375x812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10594-56645	mobile	Skai > Predict > sample market - limit - up 1VH (375x812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10509-20117	mobile	Skai > Predict > sample market - scroll 1VH (375x812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10659-165267	mobile	Skai > Predict > sample market ALT 1VH (375 x 812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10594-53620	mobile	Skai > Predict > sample market - market - up 1VH (375x812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
10594-54294	mobile	Skai > Predict > sample market - limt - up 1VH (375x812px)	3sSzw1KewMtUbeLAv7uW0r	✅ Predict
